Company,City,Country,Client Tier,Gap Type,Action Required,Priority
Meisterbäckerei Steinecke,Mariental,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KIND Hörgeräte GmbH u. Co. KG,Burgwedel,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Dehner Holding GmbH & Co. KG,Rain am Lech,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ing. Hans Bodner Bau Ges.m.b.H.& Co.KG,Kufstein,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
MPREIS Warenvertriebs GmbH,Völs,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
IKEA Austria GmbH,Vösendorf,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
PRINTUS GmbH,Offenburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hans Segmüller Polstermöbelfabrik GmbH & Co. KG,Friedberg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Zufall Logistics Group,Göttingen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hegelmann Group,Karlsdorf-Neuthard,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Röther Beteiligungs GmbH,Michelfeld,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Mömax Deutschland GmbH,Würzburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
mömax GmbH,Wels,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
WELLERGRUPPE Holding SE & Co. KG,Osnabrück,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Robert Klingel OHG,Pforzheim,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KODi Diskontläden GmbH,Oberhausen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Beresa GmbH & Co. KG,Münster,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Zertus Gruppe,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Offergeld Holding GmbH,Würselen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
flaschenpost SE,Münster,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
ALFRED TALKE GmbH & Co. KG,Hürth,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
AWG Allgemeine Warenvertriebs-GmbH,Köngen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
L.I.T. AG,Brake,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Siemes Gruppe,Mönchengladbach,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wolfgang DENZEL AUTO AG,Wien,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Vileda GmbH,Weinheim,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Pfeiffer & May SE,Karlsruhe,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Shift IT Management GmbH & Co. KG Holding,Linden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Tiemeyer Gruppe,Bochum,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Leder & Schuh AG,Graz,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
vinzenzmurr Vertriebs GmbH,München,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Markas GmbH,St. Pölten,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Iwan Budnikowsky GmbH & Co. KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Woolworth GmbH,Unna,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Leiner Ges.m.b.H.,St. Pölten,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Gries Deco Company GmbH,Niedernberg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Tedox KG,Bovenden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
M & M Militzer & Münch International Holding AG,St. Gallen,CH,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
NORDFROST GmbH & Co. KG,Schortens,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
myToys.de GmbH,Berlin,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Gerhard D. Wempe KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Trans Service Team GmbH,Worms,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
CEWE Stiftung & Co. KGaA,Oldenburg (Oldenburg),DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Emons Spedition GmbH,Köln,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Honegger AG,Köniz,CH,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rofu Kinderland Spielwarenhandelsgesellschaft mbH,Hoppstädten-Weiersbach,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Möbelix GmbH,Wels,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ernst Dello GmbH & Co. KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fleischhauer-Franz Autogruppe,Köln,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fr. Meyer's Sohn (GmbH & Co.) KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
pfenning-Gruppe,Heddesheim,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Bijou Brigitte modische Accessoires AG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ulla Popken GmbH,Rastede,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
MOSOLF SE & Co. KG,Kirchheim unter Teck,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Wöhrl SE,Nürnberg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
SIMACEK Facility Management Group GmbH,Wien,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Felbermayr Holding GmbH,Wels,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Brüder Schlau GmbH & Co. KG,Porta Westfalica,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Pneuhage-Gruppe,Karlsruhe,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hoberg & Driesch GmbH & Co. KG,Düsseldorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Augustin Quehenberger Group GmbH,Straßwalchen,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Thomas Philipps GmbH & Co. KG,Bissendorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hellweg Die Profi-Baumärkte GmbH & Co. KG,Dortmund,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
i+R Gruppe GmbH,Lauterach,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
DECATHLON Sportspezialvertriebsgesellschaft mbH,Plochingen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rosier-Gruppe,Menden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Konditorei Junge GmbH,Lübeck,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Fashion ID GmbH & Co. KG,Düsseldorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
P. DUSSMANN GmbH,Linz,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Duvenbeck Unternehmensgruppe,Bocholt,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Walo Bertschinger Central AG,Dietikon,CH,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Georg Jos. Kaes GmbH,Mauerstetten,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
LÖHR & BECKER Aktiengesellschaft,Koblenz,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Autohaus Heermann und Rhein GmbH,Heilbronn,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Leschaco,Bremen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Kuhn Holding GmbH,Eugendorf,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Eurogate-Gruppe,Bremen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Jürgens Gruppe,Hagen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
K + K Handelsgruppe,Gronau (Westfalen),DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Böttcher AG,Jena,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
EGLO LEUCHTEN GMBH,Pill,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Leyrer + Graf Baugesellschaft m.b.H.,Gmünd,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Möbel Martin,Saarbrücken,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Schmidt Gruppe,Heilbronn,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wolf Systembau Gesellschaft m.b.H.,Scharnstein,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rhenus Freight Logistics GmbH & Co. KG,Unna,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hawesko Holding AG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
LGI Logistics Group International GmbH,Herrenberg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Adler Modemärkte AG,Haibach,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Libri GmbH,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Glinicke Autohaus-Gruppe,Kassel,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hülpert GmbH,Dortmund,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
B. H. Holding GmbH,Bönen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Stroetmann Gruppe,Münster,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Cyberport GmbH,Dresden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wedl Handels-GmbH,Mils,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Feneberg Lebensmittel GmbH,Kempten,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Procar Automobile GmbH,Wuppertal,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Hahn Gruppe,Fellbach,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolph Logistik Gruppe,Baunatal,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
dodenhof Posthausen KG,Posthausen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
CITTI Märkte GmbH & Co. KG,Kiel,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Scherer Holding GmbH & Co. KG,Simmern,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Das Futterhaus Franchise GmbH & Co. KG,Elmshorn,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Martin Bauer Group,Vestenbergsgreuth,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Schachermayer-Großhandelsgesellschaft m.b.H.,Linz,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Graf Hardenberg GmbH,Eggenstein-Leopoldshafen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Casino Merkur Spielothek GmbH,Espelkamp,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
GARTNER KG,Lambach,AT,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Haufe Group,Freiburg im Breisgau,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
GFT Technologies SE,Stuttgart,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Enterprise Autovermietung Deutschland B.V. & Co. KG,Eschborn,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rheinische Post Mediengruppe,Düsseldorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Diringer & Scheidel Unternehmensgruppe,Mannheim,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Drees & Sommer AG,Stuttgart,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Johann Bunte Bauunternehmung GmbH & Co. KG,Papenburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
NOZ Medien Neue Osnabrücker Zeitung GmbH & Co. KG,Osnabrück,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
DDV Mediengruppe GmbH & Co. KG,Dresden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
W.I.R Wirtschafts- und Industrie Reserve GmbH,Erkrath,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
JOB AG Personaldienstleistungen AG,Fulda,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
carpe diem Gesellschaft für den Betrieb von Sozialeinrichtungen mbH,Wermelskirchen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
iperdi Hauptverwaltung GmbH,Weinheim,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Zabel Group Verwaltungsgesellschaft mbH,Essen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Nehlsen AG,Bremen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Stölting Service Group GmbH,Gelsenkirchen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KMG Kliniken PLC,Bad Wilsnack,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Dr. Sasse AG,München,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Götz-Management-Holding AG,Regensburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Clean Garant Gebäudereinigung Dr. Winkler GmbH,Berlin,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
DO & CO (Deutschland) Holding GmbH,Garching b. München,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Lattemann & Geiger Dienstleistungsgruppe,Dietmannsried,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Klier Hair Group GmbH,Wolfsburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Werner Wicker KG,Bad Wildungen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Bardusch GmbH & Co. KG,Ettlingen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
KNETTENBRECH + GURDULIC Service GmbH & Co. KG,Wiesbaden,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Materna Information & Communications SE,Dortmund,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
FLYERALARM GmbH,Würzburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
opta data Abrechnungs GmbH,Essen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Piepenbrock Unternehmensgruppe GmbH + Co. KG,Osnabrück,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Verlagsgesellschaft Madsack GmbH & Co. KG,Hannover,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Depenbrock Holding SE & Co. KG,Stemwede,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
MSC Germany S.A. & Co. KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Waldburg-Zeil Kliniken GmbH & Co. KG,Isny im Allgäu,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
HairGroup AG,Düsseldorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Klüh Service Management GmbH,Düsseldorf,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
EGON ZEHNDER INTERNATIONAL AG,Zürich,CH,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Schön Klinik SE,Prien am Chiemsee,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Ernst Klett AG,Stuttgart,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Spiegelblank Reinigungsunternehmen Heinz Kuhnert GmbH & Co KG,Kiel,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Artur Stoll GmbH,Steinhagen,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Johannesbad Gruppe,Bad Füssing,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Dorint GmbH,Köln,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Nordic Hamburg Shipmanagement GmbH & Co. KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Town & Country Haus Lizenzgeber GmbH,Hörselberg-Hainich,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Leonhardt & Blumberg Holding GmbH & Co. KG,Hamburg,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
K & S . Dr. Krantz Sozialbau und Betreuung SE & Co. KG,Sottrum,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
MATERNUS-Kliniken-Aktiengesellschaft,Berlin,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Wackler Holding SE,München,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
Rudolf Presl GmbH & Co. Klinik Bavaria Rehabilitations KG,Kreischa,DE,1,WRONG CONTACT ROLE (have: Geschäftsführer),Find Head of Sales / Vertriebsleiter (currently have Geschäftsführer),LOW
