company_name,domain,city,region,country,zip,phone,email_company,industry,industry_tier,description,revenue_eur,employees,client_tier,ownership,founding_year,world_market_leader,niche_leadership,contact_1_name,contact_1_position,contact_1_email,contact_1_linkedin,has_url,has_contact,data_completeness,sources,source_count,contact_1_firstname,contact_1_lastname,target_contact_role,contact_role_match,pipeline_priority,in_pipeline,in_db
Eisen-Fischer GmbH,eisenfischer.de,Nördlingen,Bayern,DE,86720.0,09081-82-0,info@eisenfischer.de,Metallverarbeitung,tier1,"Die Eisen-Fischer GmbH mit Standorten in Nördlingen (Hauptsitz), Crailsheim, Heidenheim und Bad Mergentheim ist ein mittelständisches, unabhängiges Großhandels-Unternehmen und Spezialist und Komplettanbieter mit großer Bandbreite und Sortimentstiefe. Eisenfischer ist ein  kompetenter und zuverlässiger Partner und versorgt Fachhandwerk, Fachhandel, Industrie und die öffentliche Hand mit Produkten und Dienstleistungen rund um die Themen Stahl und Bau- Biegerei, Badausstattung und Installation, Pelletöfen und Kaminöfen, Werkzeuge und Maschinen, Betriebsausstattung und Arbeitsschutz, Haustüren, Tore und Fenster sowie Forsttechnik, Gartengeräte, Küchen und Küchengeräte.",119050872.0,450.0,3.0,"Seegerer, Fischer, Wörle",1935.0,,,None Wilhelm Fischer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Wilhelm,Fischer,Geschäftsführer/CEO,True,81.0,False,False
Apparatebau Gauting GmbH,aoa-gauting.de,Gilching,Bayern,DE,82205.0,089-89317-0,info-aoa@diehl.com,Industrie,tier1,"Die Apparatebau Gauting, kurz AOA, produziert elektronische und mechanische Systeme für die Luftfahrtindustrie.",122000000.0,300.0,3.0,Diehl,1955.0,,,None Dieter Faust,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Dieter,Faust,Geschäftsführer/CEO,True,81.0,False,False
IOI Oleo GmbH,ioioleo.de,Hamburg,Hamburg,DE,20459.0,040-280031-0,info@ioioleo.de,Industrie,tier1,IOI Oleo produziert in Witten und Wittenberge im Wesentlichen Spezialester und Fettsäuren.,122000000.0,273.0,3.0,IOI Corp. (Malaysia),1946.0,,,None Kean Hua Tan,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Kean Hua,Tan,Geschäftsführer/CEO,True,81.0,False,False
Bacardi GmbH,bacardilimited.com/de/de,Hamburg,Hamburg,DE,22297.0,040-33950-0,info-deutschland@bacardi.com,Industrie,tier1,Bacardi ist ein führender Anbieter internationaler Premiumspirituosen.,122000000.0,251.0,3.0,Bacardi Familie (Bermuda),1918.0,,,None George Kester,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,George,Kester,Geschäftsführer/CEO,True,81.0,False,False
Odenwald Faserplattenwerk GmbH,owa.de,Amorbach,Bayern,DE,63916.0,09373-201-0,info@owa.de,Baustoffindustrie,tier1,Die Firma Odenwald Faserplattenwerk GmbH ist ein Hersteller von Mineralwolleplatten und liefert weltweit komplette abgehängte Deckensysteme.,121800000.0,546.0,3.0,Rogge,1949.0,,,None Maximilian Freiherr von Funck,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Maximilian Freiherr,von Funck,Head of Sales / Vertriebsleiter,False,81.0,False,False
MIWE Michael Wenz GmbH,miwe.com,Arnstein (Unterfranken),Bayern,DE,97450.0,09363-68-0,contact@miwe.de,Maschinenbau,tier1,"Miwe ist ein Spezialist für Backöfen, Bäckerkälte und Beschickungstechnik.",121600000.0,700.0,3.0,Wenz,1919.0,,,None Sabine Michaela Wenz,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Sabine Michaela,Wenz,Head of Sales / Vertriebsleiter,False,81.0,False,False
manroland Goss web systems GmbH,manrolandgoss.com,Augsburg,Bayern,DE,86153.0,0821-424-0,info@manroland-web.com,Industrie,tier1,"Das Unternehmen bietet System-Lösungen für hochautomatisierte Druck- und Weiterverarbeitungsanlagen, Retrofit-Lösungen für mechanische sowie Automatisierungs- und Closed-Loop-Upgrades für alle Maschinentypen, Service-Lösungen für Teile und Personal.",121600000.0,585.0,3.0,L. Possehl & Co. MbH,2018.0,,,None Franz Kriechbaum,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Franz,Kriechbaum,Head of Sales / Vertriebsleiter,False,81.0,False,False
INFECTOPHARM Arzneimittel und Consilium GmbH,infectopharm.com,Heppenheim (Bergstraße),Hessen,DE,64646.0,06252-95-7000,kontakt@infectopharm.com,Pharmaindustrie,tier1,"Infectopharm ist ein Unternehmen aus der pharmazeutischen Industrie, das sich auf die Herstellung von Medikamenten zur Behandlung von Infektionskrankheiten bei Kindern und Jugendlichen spezialisiert hat.",121400000.0,183.0,3.0,Zöller,1988.0,,,None Monika Zöller,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Monika,Zöller,Geschäftsführer/CEO,True,81.0,False,False
Hansa Armaturen GmbH,hansa.com/de/home,Stuttgart,Baden-Württemberg,DE,70567.0,0711-1614-0,info@hansa.de,Industrie,tier1,"Hansa Metallwerke ist ein Unternehmen aus dem metallverarbeitenden Bereich, das hauptsächlich Sanitärarmaturen produziert.",121000000.0,507.0,3.0,Oras (Finnland),1911.0,,,None Kari Lehtinen,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Kari,Lehtinen,Head of Sales / Vertriebsleiter,False,81.0,False,False
Alpenhain Käsespezialitäten GmbH,alpenhain.de,Pfaffing,Bayern,DE,83539.0,08039-402-0,info@alpenhain.de,Industrie,tier1,Alpenhain hat sich auf die Herstellung und den Vertrieb von Käseerzeugnissen spezialisiert.,120900000.0,440.0,3.0,Hain,1905.0,,,None Stefan Kost,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Stefan,Kost,Geschäftsführer/CEO,True,81.0,False,False
Vollmer Werke Maschinenfabrik GmbH,vollmer.de,Biberach an der Riß,Baden-Württemberg,DE,88400.0,07351-571-0,info@vollmer-group.com,Maschinenbau,tier1,Die Vollmer Unternehmensgruppe ist der Spezialist für die Werkzeugbearbeitung in Produktion und Service.,120300000.0,722.0,3.0,Sieglinde Vollmer Stiftung,1909.0,,,Dr. Stefan Brand,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Stefan,Brand,Head of Sales / Vertriebsleiter,False,81.0,False,False
Dachziegelwerke Nelskamp GmbH,nelskamp.de,Schermbeck,Nordrhein-Westfalen,DE,46514.0,02853-91300,vertrieb@nelskamp.de,Ziegelindustrie,tier1,Die Firma Dachziegelwerke Nelskamp ist einer der führenden Hersteller harter Dacheindeckungs-Materialien in Deutschland.,120100000.0,587.0,3.0,Nelskamp,1926.0,,,None Heinrich Nelskamp,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Heinrich,Nelskamp,Head of Sales / Vertriebsleiter,False,81.0,False,False
Schäffer Maschinenfabrik GmbH,schaeffer-lader.de/de,Erwitte,Nordrhein-Westfalen,DE,59597.0,02943-9709-0,info@schaeffer-lader.de,Maschinenbau,tier1,Die Schäffer Maschinenfabrik ist der bedeutendste Hersteller von Hofladern und kompakten Teleskopladern in Europa.,120100000.0,365.0,3.0,Schäffer/Jachalke,1956.0,,,None Jürgen Jachalke,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Jürgen,Jachalke,Geschäftsführer/CEO,True,81.0,False,False
Vauth-Sagel Gruppe,vauth-sagel.de,Brakel,Nordrhein-Westfalen,DE,33034.0,05272-601-01,vs@vauth-sagel.de,Möbelindustrie,tier1,"Die Vauth-Sagel Gruppe entwickelt, fertigt und vertreibt Einzellösungen oder modulare Systemlösungen, die den Alltag der Menschen erleichtern.",120000000.0,850.0,3.0,Sagel,1962.0,,,None Heinz O. Sagel,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Heinz O.,Sagel,Head of Sales / Vertriebsleiter,False,81.0,False,False
BLANCO Professional GmbH + Co KG,blanco-professional.com,Oberderdingen,Baden-Württemberg,DE,75038.0,07045 44-81900,professional@blanco.de,Industrie,tier1,"BLANCO Professional produziert hochwertige Investitionsgüter für Großküchen, medizinische Einrichtungen und die Industrie.",120000000.0,707.0,3.0,Blanc & Fischer,1925.0,,,None Roland Spleiss,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Roland,Spleiss,Head of Sales / Vertriebsleiter,False,81.0,False,False
BURG-WÄCHTER KG,burg-waechter.de,Wetter (Ruhr),Nordrhein-Westfalen,DE,58300.0,02335-9653-0,info@burg-waechter.de,Industrie,tier1,Burg Wächter entwickelt und fertigt elektronische und mechanische Sicherheitslösungen.,120000000.0,600.0,3.0,Lüling,1920.0,,,None Dietmar Lüling,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Dietmar,Lüling,Head of Sales / Vertriebsleiter,False,81.0,False,False
MAQUET Holding B.V. & Co. KG,maquet.com/de?,Rastatt,Baden-Württemberg,DE,76437.0,01803-212133,info.vertrieb@maquet.de,Medizintechnik,tier1,"Maquet gehört zu den führenden Anbietern von Medizintechnik für Notaufnahmen, Operationssäle und Intensivstationen.",120000000.0,600.0,3.0,Carl Bennet AB (Schweden),1838.0,,,None Rob Geraerdts,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Rob,Geraerdts,Head of Sales / Vertriebsleiter,False,81.0,False,False
Stegmann Emmentaler Käsereien GmbH,aggenstein.de,Kempten,Bayern,DE,87435.0,0831-52040-0,info@stegmann-gmbh.de,Industrie,tier1,Stegmann ist ein führender Hersteller von hochwertigem Emmentaler in Deutschland.,124000000.0,238.0,3.0,Meggle AG,1948.0,,,Dr. Johann Meier,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Johann,Meier,Geschäftsführer/CEO,True,81.0,False,False
B + F Bakery & Food GmbH,bakery-food.de,Salzkotten,Nordrhein-Westfalen,DE,33154.0,05258-5059-21,bakery@bakery-food.de,Industrie,tier1,"Bakery Food ist ein Unternehmen, das sich auf die Entwicklung und Herstellung von Tiefkühlprodukten spezialisiert hat.",124000000.0,223.0,3.0,Givesco Bakery Eskilden Familie (Dänemark),1857.0,,,None Ulrich Kamp,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Ulrich,Kamp,Geschäftsführer/CEO,True,81.0,False,False
Paul Pleiger Maschinenfabrik GmbH & Co KG.,pleiger.de,Witten,Nordrhein-Westfalen,DE,58456.0,02324-398-0,info@pleiger.de,Maschinenbau,tier1,Die Pleiger Unternehmensgruppe umfasst mehrere industrielle Unternehmen.,123750000.0,495.0,3.0,Pleiger,1925.0,,,Dr. Karl J. Kraft,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Karl J.,Kraft,Geschäftsführer/CEO,True,81.0,False,False
Wicke GmbH + Co. KG,wicke.com,Sprockhövel,Nordrhein-Westfalen,DE,45549.0,0202-25280,info@wicke.com,Industrie,tier1,"Wicke ist einer der weltweit führenden Hersteller industrieller Räder, Reifen, Achsen, Lenkrollen und Bockrollen für den innerbetrieblichen Transport mit weltweit ca. 900 Mitarbeitern.",123644000.0,250.0,3.0,Klaus Schlösser,1866.0,,,None Klaus Schlösser,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Klaus,Schlösser,Geschäftsführer/CEO,True,81.0,False,False
Arnold Knipping Holding GmbH,king-plastic.de,Gummersbach,Nordrhein-Westfalen,DE,51647.0,02261 30856,info@king-plastic.de,Industrie,tier1,"Entwicklung, Forschung, Herstellung und Vertrieb betreffend Produkte der Kunststoff- und der Verbindungstechnik und verwandter Erzeugnisse.",123500000.0,691.0,3.0,Knipping,1959.0,,,None Michael Hagemann,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Michael,Hagemann,Head of Sales / Vertriebsleiter,False,81.0,False,False
KASTO,kasto.de,Achern,Baden-Württemberg,DE,77855.0,07841-610,kasto@kasto.de,Maschinenbau,tier1,Kasto hat sich auf Sägemaschinen sowie auf das Lagern von Metall-Langgut und Blech spezialisiert.,123500000.0,593.0,3.0,Stolzer,1844.0,,,None Armin Stolzer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Armin,Stolzer,Head of Sales / Vertriebsleiter,False,81.0,False,False
HIMA Paul Hildebrandt GmbH + Co KG,hima.de,Brühl (Baden),Baden-Württemberg,DE,68782.0,06202-709-0,info@hima.com,Maschinenbau,tier1,Hima hat sich auf die Herstellung und den Vertrieb von sicherheitsgerichteten Automatisierungslösungen ausgerichtet.,123000000.0,754.0,3.0,Philipp,1908.0,,,None Steffen Philipp,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Steffen,Philipp,Head of Sales / Vertriebsleiter,False,81.0,False,False
ORTHOMOL pharmazeutische Vertriebs GmbH,orthomol.com/en,Langenfeld,Nordrhein-Westfalen,DE,40764.0,02173-9059-0,info@orthomol.de,Pharmaindustrie,tier1,Die Firma Ortohomol ist ein Experte für Nahrungsergänzungsmitte. Im Mittelpunkt des nordrhein-westfälischen Familienunternehmens mit Sitz in Langenfeld stehen die Herstellung und der Vertrieb von Mikronährstoff-Kombinationen.,122900000.0,478.0,3.0,Glagau,1991.0,,,None Nils Glagau,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Nils,Glagau,Geschäftsführer/CEO,True,81.0,False,False
Funkwerk AG,funkwerk.com,Kölleda,Thüringen,DE,99625.0,03635-600-0,info@funkwerk.com,Industrie,tier1,"Funkwerk entwickelt und produziert professionelle Kommunikationssysteme, die in Fahrzeugen und Verkehrsbetrieben zum Einsatz kommen.",122500000.0,463.0,3.0,Hörmann Gruppe,1992.0,,,None Kerstin Schreiber,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Kerstin,Schreiber,Geschäftsführer/CEO,True,81.0,False,False
Horn & Bauer GmbH & Co. KG,horn-bauer.de,Schwalmstadt,Hessen,DE,34613.0,06691-808-0,info@horn-bauer.de,Verpackungsindustrie,tier1,Horn und Bauer produziert und veredelt Kunststofffolien für funktionelle Schutz- und Verpackungssysteme.,122500000.0,350.0,3.0,Horn/Bauer,,,,None Julia Kristina Pohl,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Julia Kristina,Pohl,Geschäftsführer/CEO,True,81.0,False,False
Teckentrup GmbH & Co. KG,teckentrup.biz,Verl,Nordrhein-Westfalen,DE,33415.0,05246-504-0,info@teckentrup.biz,Baustoffindustrie,tier1,"Teckentrup entwickelt, fertigt und vermarktet Türen und Torsysteme.",122400000.0,900.0,3.0,Teckentrup,1932.0,,,None Kai Teckentrup,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Kai,Teckentrup,Head of Sales / Vertriebsleiter,False,81.0,False,False
Brohl Wellpappe GmbH & Co. KG,brohl-wellpappe.de,Mayen,Rheinland-Pfalz,DE,56727.0,02651-954-0,info@wellpappe.de,Verpackungsindustrie,tier1,Brohl Wellpappe ist ein Hersteller von hochwertigen Verkaufsverpackungen und Displays aus Well- und Vollpappe.,122400000.0,616.0,3.0,Boltersdorf,1778.0,,,None Detlef Boltersdorf,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Detlef,Boltersdorf,Head of Sales / Vertriebsleiter,False,81.0,False,False
GMH Guss Automotive GmbH,walter-hundhausen.de,Schwerte,Nordrhein-Westfalen,DE,58239.0,02304-105-0,info@walter-hundhausen.com,Automobilzulieferer,tier1,GMH Guss Automotive ist ein Hersteller von Gussteilen.,122000000.0,641.0,3.0,Georgsmarienhütte Dr. Großmann,1914.0,,,None Guido Weber,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Guido,Weber,Head of Sales / Vertriebsleiter,False,81.0,False,False
Gissler & Pass GmbH,gissler-pass.de,Jülich,Nordrhein-Westfalen,DE,52428.0,02461-684-0,kontakt@gissler-pass.de,Verpackungsindustrie,tier1,Gissler & Pass ist heute eines der führenden europäischen Unternehmen in der Wellpappen- und Verpackungsindustrie.,122000000.0,497.0,3.0,Gissler-Weber,1882.0,,,None Thomas Gissler-Weber,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Thomas,Gissler-Weber,Geschäftsführer/CEO,True,81.0,False,False
Kulmbacher Brauerei Aktien-Gesellschaft,kulmbacher.de,Kulmbach,Bayern,DE,95326.0,09221-705-0,info@kulmbacher.de,Industrie,tier1,Die Kulmbacher Brauerei ist eine größere Brauerei in Bayern.,122000000.0,488.0,3.0,Schörghuber Unternehmensgruppe,1846.0,,,None Markus Stodden,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Markus,Stodden,Geschäftsführer/CEO,True,81.0,False,False
Schneider GmbH & Co. KG,schneider-om.com,Fronhausen,Hessen,DE,35112.0,06426-9696-0,info@schneider-om.com,Maschinenbau,tier1,"Schneider Brillenoptik ist ein weltweit agierendes Unternehmen, das sich zur Aufgabe gemacht hat, Systemlösungen für die Brillen- und Präzisionsoptik herzustellen.",122000000.0,302.0,3.0,Schneider,1991.0,,,None Gunter Schneider,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Gunter,Schneider,Geschäftsführer/CEO,True,81.0,False,False
R-Biopharm AG,r-biopharm.com,Darmstadt,Hessen,DE,64297.0,06151-8102-0,info@r-biopharm.de,Pharmaindustrie,tier1,R-Biopharm entwickelt Testsysteme für die Klinische Diagnostik sowie für die Lebens- und Futtermittelanalytik.,125500000.0,376.0,3.0,Dreher,1988.0,,,Dr. Ralf Dreher,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Ralf,Dreher,Geschäftsführer/CEO,True,81.0,False,False
Bott GmbH & Co. KG,bott.de,Gaildorf,Baden-Württemberg,DE,74405.0,07971-251-0,info@bott.de,Industrie,tier1,Bott ist ein international agierender Entwickler und Hersteller von Fahrzeug- und Betriebseinrichtungen.,125000000.0,900.0,3.0,"Bott, Wollermann-Windgasse",1930.0,,,Dr. Reinhard Wollermann-Windgasse,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Reinhard,Wollermann-Windgasse,Head of Sales / Vertriebsleiter,False,81.0,False,False
Miebach Firmengruppe,miebach.de,Dortmund,Nordrhein-Westfalen,DE,44147.0,0231-8406-0,info.ws@miebach.de,Maschinenbau,tier1,"Miebach ist in den Bereichen Maschinenbau und -reparatur, Schaltanlagen und Zementherstellung aktiv.",125000000.0,750.0,3.0,Miebach,1907.0,,,None Christoph Engelke,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Christoph,Engelke,Head of Sales / Vertriebsleiter,False,81.0,False,False
Bachner Gruppe,bachner.de,Mainburg,Bayern,DE,84048.0,0 8751 707-0,elektro@bachner.de,Industrie,tier1,"Über vier Generationen entwickelte sich die Firma zu einem mittel-ständischen Familienunternehmen, das über die Hallertau hinaus Maßstäbe setzt. Die Elektrotechnik ist nach wie vor ein Kerngeschäft. Darüber hinaus erschließt die Unternehmensgruppe immer wieder zukunftsweisende Bereiche, etwa die Photovoltaik und Stromspeichertechnik oder die Kraft-Wärme-Kopplung.",125000000.0,550.0,3.0,Bachner,1920.0,,,None Erwin Daimer,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Erwin,Daimer,Head of Sales / Vertriebsleiter,False,81.0,False,False
Herbstreith & Fox GmbH & Co. KG Pektin-Fabriken,h-f.group,Neuenbürg,Baden-Württemberg,DE,75305.0,07082-7913-0,info@herbstreith-fox.de,Industrie,tier1,"Herbstreith und Fox stellen Pektine für die Lebensmittel- und die Non-Food-Industrie her, die hauptsächlich als Gelier-, Verdickungs- und Stabilisierungsmittel in vielen Produkten verarbeitet werden.",125000000.0,500.0,3.0,Fox & Fox Holding GmbH,1934.0,,,None Gerhard. F. Fox,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Gerhard. F.,Fox,Head of Sales / Vertriebsleiter,False,81.0,False,False
Villmann Holding GmbH & Co. KG,villmann-gruppe.de,Winsen (Aller),Niedersachsen,DE,29308.0,05143-93245,info@few.villmann-gruppe.de,Industrie,tier1,"Die Villmann Gruppe ist ein familiengeführtes niedersächsisches Dienstleistungs-Unternehmen mit Sitz in Winsen an der Aller, das sich auf Eisenbahntechnik spezialisiert hat.",125000000.0,500.0,3.0,Villmann,1996.0,,,None Manfred Villmann,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Manfred,Villmann,Head of Sales / Vertriebsleiter,False,81.0,False,False
Siempelkamp Giesserei GmbH,siempelkamp-giesserei.com,Krefeld,Nordrhein-Westfalen,DE,47803.0,02151 894-0,giesserei@siempelkamp.com,Metallindustrie,tier1,Die Siempelkamp Giesserei GmbH in Krefeld hat sich auf die Herstellung handgeformter Großgussteile von 3 ton bis 320 ton Stückgewicht aus Gusseisen mit Kugelgrafit spezialisiert und gehört mit einer Gussmenge von 50.000 Tonnen pro Jahr sowie über 400 Mitarbeiter*innen zu den größten Handformgießereien der Welt und Marktführer in Deutschland.,125000000.0,400.0,3.0,G. Siempelkamp GmbH & Co. KG,1902.0,,,None Dirk Howe,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Dirk,Howe,Geschäftsführer/CEO,True,81.0,False,False
Buchmann Gesellschaft mit beschränkter Haftung,buchmannkarton.de,Annweiler am Trifels,Rheinland-Pfalz,DE,76855.0,06346-927-0,info@buchmannkarton.de,Verpackungsindustrie,tier1,Die Kartonfabrik Buchmann entstand aus einer Papiermühle und produziert auf drei Kartonmaschinen Kartonage.,125000000.0,311.0,3.0,Stark,1811.0,,,None Thomas Stark,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Thomas,Stark,Geschäftsführer/CEO,True,81.0,False,False
hentschke + sawatzki CHEMISCHE FABRIK GMBH,hentschke-sawatzki.de,Neumünster,Schleswig-Holstein,DE,24539.0,04321-9872-0,info@hentschke-sawatzki.de,Industrie,tier1,Hentschke + Sawatzki betreibt eine chemische Fabrik zur Entwicklung und Herstellung Spezialpräparaten.,125000000.0,250.0,3.0,Sawatzki,1954.0,,,None Sönke Meier-Sawatzki,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Sönke,Meier-Sawatzki,Geschäftsführer/CEO,True,81.0,False,False
Hermann Paus Maschinenfabrik GmbH,paus.de,Emsbüren,Niedersachsen,DE,48488.0,05903-707-0,info@paus.de,Maschinenbau,tier1,Die Hermann Paus Maschinenfabrik entwickelt und fertigt Fahrzeuge und Maschinen für besondere Aufgabenstellungen in Industrie und Gewerbe.,125000000.0,250.0,3.0,Paus,1968.0,,,None Franz-Josef Paus,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Franz-Josef,Paus,Geschäftsführer/CEO,True,81.0,False,False
Ulrich Grocholl oHG Inhaber Tobias und Sebastian Grocholl,grocholl.de,Clenze,Niedersachsen,DE,29457.0,05844-977-0,info@grocholl.de,Industrie,tier1,Die Grocholl Unternehmensgruppe mit Hauptsitz im niedersächsischen Clenze ist in der Lebensmittelindustrie tätig.,125000000.0,250.0,3.0,Grocholl,,,,None Carsten Heilmann,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Carsten,Heilmann,Geschäftsführer/CEO,True,81.0,False,False
Zucker-Vertriebsgesellschaft mbH,zucker-vertrieb.de,Braunschweig,Niedersachsen,DE,38110.0,0531-30001-0,INFO@ZUCKER-VERTRIEB.DE,Industrie,tier1,Die Zucker- Vertriebsgesellschaft (ZVG) ist ein Händler für verschiedene Zuckerprodukte aus Braunschweig.,125000000.0,250.0,3.0,Boettger Zucker GmbH,1939.0,,,None Torsten Loose,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Torsten,Loose,Geschäftsführer/CEO,True,81.0,False,False
Paul Wurth Umwelttechnik GmbH,paulwurth.com,Essen,Nordrhein-Westfalen,DE,45131.0,0201-24530-0,pwumwelt@paulwurth.com,Maschinenbau,tier1,Das Unternehmen Paul Wurth befasst sich mit der Entwicklung von Umweltschutztechnologien für die Metallindustrie.,125000000.0,72.0,3.0,SMS Group = Weiss,1998.0,,,None Markus Bierod,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Markus,Bierod,Geschäftsführer/CEO,True,81.0,False,False
BESSEY Tool GmbH & Co. KG,bessey.de,Bietigheim-Bissingen,Baden-Württemberg,DE,74321.0,07142-401-0,info@bessey.de,Werkzeugbau,tier1,"BESSEY ist Qualitätshersteller von manuellen Spann- und Schneidwerkzeugen und bietet, individuell abgestimmt auf spezielle Anforderungen, ein enorm breites und zugleich tiefes Produktssortiment an.",124900000.0,235.0,3.0,Mayer/Fetscher/Fuchs,1889.0,,,None Carsten Spang,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Carsten,Spang,Geschäftsführer/CEO,True,81.0,False,False
helag-electronic GmbH,helag-electronic.de,Nagold,Baden-Württemberg,DE,72202.0,07452-824-0,info@helag-electronic.de,Automobilzulieferer,tier1,Helag Electronic ist ein Hersteller von Komponenten für die Autoindustrie und deren Systemlieferanten.,124500000.0,415.0,3.0,Henninger/Lamparth,1975.0,,,None Suat Pala,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Suat,Pala,Geschäftsführer/CEO,True,81.0,False,False
"RZB Rudolf Zimmermann, Bamberg GmbH",rzb.de,Bamberg,Bayern,DE,96052.0,0951-7909-0,info@rzb-leuchten.de,Industrie,tier1,RZB Rudolf Zimmermann Bamberg produziert Leuchten.,124400000.0,500.0,3.0,Zimmermann,1939.0,,,Dr. Alexander Zimmermann,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Alexander,Zimmermann,Head of Sales / Vertriebsleiter,False,81.0,False,False
Conditess-Feine Kuchen GmbH,conditess.de,Haselünne,Niedersachsen,DE,49740.0,05961-9405-0,conditess@t-online.de,Industrie,tier1,Conditess ist eine große Kuchenfabrik am Standort Haselünne im Emsland.,128000000.0,381.0,3.0,Bittner,1988.0,,,None Rüdiger Bittner,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Rüdiger,Bittner,Geschäftsführer/CEO,True,81.0,False,False
Güth & Wolf GmbH,gueth-wolf.de,Gütersloh,Nordrhein-Westfalen,DE,33330.0,05241-879-0,central@gueth-wolf.de,Textilindustrie,tier1,Die Firma Güth & Wolf ist ein renommierter Spezialist für Bänder und Gurte.,128000000.0,320.0,3.0,Güth / Wolf,1887.0,,,None Hermann Güth,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Hermann,Güth,Geschäftsführer/CEO,True,81.0,False,False
"ml&s manufacturing, logistics and services GmbH und Co. KG",mlands.com,Greifswald,Mecklenburg-Vorpommern,DE,17489.0,03834-810-0,info@mlands.com,Industrie,tier1,"Manufacturing Logistics, kurz ML&S, ist ein Dienstleister in der Elektronikbranche.",127500000.0,425.0,3.0,Possin/Odoj Partner,1969.0,,,None Udo Günter Ernst Possin,Geschäftsführer,,,True,True,100,Familienunternehmen_V6; Research_xlsx,2,Udo Günter Ernst,Possin,Geschäftsführer/CEO,True,81.0,False,False
